1,1,26,13,1,12,52,39,27,38
2,1,14,13,26,11,40,39,52,37
3,1,2,16,17,3,28,42,43,29
4,1,25,18,4,11,51,44,30,37
5,1,5,18,25,10,31,44,51,36
6,1,19,5,21,20,45,31,47,46
7,1,8,23,24,9,34,49,50,35
8,1,6,19,20,7,32,45,46,33
9,1,15,14,11,4,41,40,37,30
10,1,17,16,15,4,43,42,41,30
11,1,22,21,5,10,48,47,31,36
12,1,24,23,22,10,50,49,48,36
13,1,52,39,27,38,78,65,53,64
14,1,40,39,52,37,66,65,78,63
15,1,28,42,43,29,54,68,69,55
16,1,51,44,30,37,77,70,56,63
17,1,31,44,51,36,57,70,77,62
18,1,45,31,47,46,71,57,73,72
19,1,34,49,50,35,60,75,76,61
20,1,32,45,46,33,58,71,72,59
21,1,41,40,37,30,67,66,63,56
22,1,43,42,41,30,69,68,67,56
23,1,48,47,31,36,74,73,57,62
24,1,50,49,48,36,76,75,74,62
25,1,78,65,53,64,104,91,79,90
26,1,66,65,78,63,92,91,104,89
27,1,54,68,69,55,80,94,95,81
28,1,77,70,56,63,103,96,82,89
29,1,57,70,77,62,83,96,103,88
30,1,71,57,73,72,97,83,99,98
31,1,60,75,76,61,86,101,102,87
32,1,58,71,72,59,84,97,98,85
33,1,67,66,63,56,93,92,89,82
34,1,69,68,67,56,95,94,93,82
35,1,74,73,57,62,100,99,83,88
36,1,76,75,74,62,102,101,100,88
37,1,104,91,79,90,130,117,105,116
38,1,92,91,104,89,118,117,130,115
39,1,80,94,95,81,106,120,121,107
40,1,103,96,82,89,129,122,108,115
41,1,83,96,103,88,109,122,129,114
42,1,97,83,99,98,123,109,125,124
43,1,86,101,102,87,112,127,128,113
44,1,84,97,98,85,110,123,124,111
45,1,93,92,89,82,119,118,115,108
46,1,95,94,93,82,121,120,119,108
47,1,100,99,83,88,126,125,109,114
48,1,102,101,100,88,128,127,126,114
49,1,130,117,105,116,156,143,131,142
50,1,118,117,130,115,144,143,156,141
51,1,106,120,121,107,132,146,147,133
52,1,129,122,108,115,155,148,134,141
53,1,109,122,129,114,135,148,155,140
54,1,123,109,125,124,149,135,151,150
55,1,112,127,128,113,138,153,154,139
56,1,110,123,124,111,136,149,150,137
57,1,119,118,115,108,145,144,141,134
58,1,121,120,119,108,147,146,145,134
59,1,126,125,109,114,152,151,135,140
60,1,128,127,126,114,154,153,152,140
61,1,156,143,131,142,182,169,157,168
62,1,144,143,156,141,170,169,182,167
63,1,132,146,147,133,158,172,173,159
64,1,155,148,134,141,181,174,160,167
65,1,135,148,155,140,161,174,181,166
66,1,149,135,151,150,175,161,177,176
67,1,138,153,154,139,164,179,180,165
68,1,136,149,150,137,162,175,176,163
69,1,145,144,141,134,171,170,167,160
70,1,147,146,145,134,173,172,171,160
71,1,152,151,135,140,178,177,161,166
72,1,154,153,152,140,180,179,178,166
73,1,182,169,157,168,208,195,183,194
74,1,170,169,182,167,196,195,208,193
75,1,158,172,173,159,184,198,199,185
76,1,181,174,160,167,207,200,186,193
77,1,161,174,181,166,187,200,207,192
78,1,175,161,177,176,201,187,203,202
79,1,164,179,180,165,190,205,206,191
80,1,162,175,176,163,188,201,202,189
81,1,171,170,167,160,197,196,193,186
82,1,173,172,171,160,199,198,197,186
83,1,178,177,161,166,204,203,187,192
84,1,180,179,178,166,206,205,204,192
85,1,208,195,183,194,234,221,209,220
86,1,196,195,208,193,222,221,234,219
87,1,184,198,199,185,210,224,225,211
88,1,207,200,186,193,233,226,212,219
89,1,187,200,207,192,213,226,233,218
90,1,201,187,203,202,227,213,229,228
91,1,190,205,206,191,216,231,232,217
92,1,188,201,202,189,214,227,228,215
93,1,197,196,193,186,223,222,219,212
94,1,199,198,197,186,225,224,223,212
95,1,204,203,187,192,230,229,213,218
96,1,206,205,204,192,232,231,230,218
97,1,234,221,209,220,260,247,235,246
98,1,222,221,234,219,248,247,260,245
99,1,210,224,225,211,236,250,251,237
100,1,233,226,212,219,259,252,238,245
101,1,213,226,233,218,239,252,259,244
102,1,227,213,229,228,253,239,255,254
103,1,216,231,232,217,242,257,258,243
